DATAFLOW,LAST UPDATE,freq,unit,tra_meas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-10,2166685,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-11,2060033,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2012-12,1679105,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-01,1608303,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-02,1630192,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-03,1877790,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-04,1963283,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-05,1916911,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-06,2063425,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-07,1946668,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-08,1745910,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-09,2107751,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-10,2114243,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-11,1980143,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2013-12,1663893,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-01,1628508,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-02,1704025,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-03,1904687,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-04,1758853,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-05,2072894,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-06,1998776,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-07,1967006,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-08,1750603,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-09,2151950,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-10,2125539,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-11,2047346,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2014-12,1678969,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-01,1589506,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-02,1659485,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-03,1969502,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-04,1919807,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-05,2059735,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-06,2094269,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-07,2001086,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-08,1800065,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-09,2156447,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-10,2232343,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-11,1919805,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2015-12,1754864,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-01,1644033,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-02,1793430,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-03,1961827,
ESTAT:AVIA_PANC(1.0),10/10/24 23:00:00,M,PAS,PAS_CRD,DE,2016-04,2041503,
